Title,Type,Severity,Created By,Created Date,Applies To Feature,Stage,Needs Response,Body
login isuue,ticket,medium, KEERTHANA,2024-11-30T16:30:30.726Z,Default Feature 2,in_development,False,the page is not loding in the right way there is an login issue
new,ticket,medium, KEERTHANA,2024-11-30T10:31:23.228Z,Default Feature 3,queued,False,dis
aef,issue,, KEERTHANA,2024-11-30T10:24:36.637Z,Default Feature 2,triage,,dsad
sumary sample,issue,, KEERTHANA,2024-11-30T10:15:23.467Z,Default Feature 3,triage,,to check the summaty snapin
sumarry,issue,, KEERTHANA,2024-11-30T00:12:08.216Z,Default Feature 1,triage,,sample event
to collect,opportunity,, KEERTHANA,2024-11-27T05:03:46.174Z,,qualification,,random
Feature Enhancement,ticket,medium,MEETHA P ANCHAN,2024-11-25T12:43:26.986Z,Default Feature 2,awaiting_product_assist,False,"This ticket involves making improvements to an existing feature based on user feedback or performance metrics. The goal is to enhance the functionality, usability, or performance of the feature."
User Access Issues,ticket,medium,MEETHA P ANCHAN,2024-11-25T12:42:22.527Z,Default Feature 1,queued,False,"Report problems related to user access, such as login failures or permission errors. This ticket aims to resolve access issues to ensure users can perform their tasks without hindrance."
Data Integrity Issues,ticket,medium,MEETHA P ANCHAN,2024-11-25T12:41:16.285Z,Default Feature 4,queued,False,"Report any inconsistencies, inaccuracies, or corruption in the data. The goal is to identify and resolve data integrity issues to ensure reliable and accurate data for users and systems."
Workflow Automation Requests,ticket,medium,MEETHA P ANCHAN,2024-11-25T12:38:02.469Z,Default Capability 2,queued,False,Request the automation of specific workflows or processes to improve efficiency and reduce manual effort. This ticket aims to streamline operations through automation.
Incident Report,ticket,medium,MEETHA P ANCHAN,2024-11-25T12:36:54.201Z,Default Feature 2,awaiting_product_assist,False,"Report an unexpected incident that has caused disruption or outages in services or systems. The goal is to document the incident, analyze its cause, and implement measures to prevent recurrence."
Sentiment Analysis Request,ticket,medium,MEETHA P ANCHAN,2024-11-25T12:33:13.059Z,Default Feature 4,work_in_progress,False,"This ticket is for implementing or enhancing sentiment analysis capabilities to evaluate the sentiment (positive, negative, neutral) of user-generated content such as reviews and feedback. The goal is to accurately understand user opinions, support multiple languages, and integrate results into existing systems for valuable insights and reporting."
System Maintenance,ticket,medium,MEETHA P ANCHAN,2024-11-25T12:21:02.439Z,Default Feature 4,awaiting_development,False,"Specify the system requiring maintenance, the nature of the maintenance, and the expected downtime or impact on users."
Change Management,ticket,medium,MEETHA P ANCHAN,2024-11-25T12:19:46.345Z,Default Feature 4,queued,False,"Describe the change needed, the rationale behind the change, and any potential impact on existing systems or processes."
Access Requests,ticket,medium,MEETHA P ANCHAN,2024-11-25T12:18:55.029Z,Default Capability 2,resolved,False,"Detail the system or resource for which access is requested, the reason for the request, and the level of access needed."
Training Requests,ticket,medium,MEETHA P ANCHAN,2024-11-25T12:18:19.051Z,Default Feature 1,queued,False,"Specify the training topic, the target audience, and any specific learning objectives or requirements."
User Feedback,ticket,medium,MEETHA P ANCHAN,2024-11-25T12:16:24.106Z,Default Feature 1,awaiting_customer_response,False,"Summarize the user feedback, including positive comments and suggestions for improvement."
Usability Testing Requests,ticket,medium,MEETHA P ANCHAN,2024-11-25T12:10:49.145Z,Default Feature 1,awaiting_customer_response,False,"Describe the feature or update to be tested, the target user group, and any specific usability criteria or scenarios."
Performance Testing Requests,ticket,medium,MEETHA P ANCHAN,2024-11-25T12:07:14.864Z,Default Feature 1,awaiting_product_assist,False,"Specify the components or systems to be tested, the criteria for performance, and any specific scenarios to be tested."
Deployment Issues,ticket,medium,MEETHA P ANCHAN,2024-11-25T11:47:15.773Z,Default Feature 1,in_development,False,"Detail the deployment steps, any errors or issues encountered, and the impact on the application."
Integration Issues,ticket,low,MEETHA P ANCHAN,2024-11-25T11:08:25.778Z,Default Feature 1,queued,False,"Specify the systems being integrated, the problems encountered, and any relevant error messages or logs."
Data Migration Issues,ticket,low,MEETHA P ANCHAN,2024-11-25T11:05:24.325Z,Default Feature 1,awaiting_development,False,"Describe the data being migrated, any errors or issues encountered, and the impact on the project."
Compatibility Issues,ticket,low,MEETHA P ANCHAN,2024-11-25T11:01:52.203Z,Default Feature 1,awaiting_product_assist,False,"Provide information on the incompatible software or hardware, the nature of the incompatibility, and any error messages received."
Configuration Issues,ticket,low,MEETHA P ANCHAN,2024-11-25T10:57:26.443Z,Default Feature 1,queued,False,"Detail the specific configuration settings causing the issue, expected vs. actual behavior, and any steps already taken to resolve it."
Documentation Requests,ticket,low,MEETHA P ANCHAN,2024-11-25T10:55:21.895Z,Default Feature 1,work_in_progress,False,Specify the documentation needed and its intended audience.
Security Issues,ticket,blocker,MEETHA P ANCHAN,2024-11-25T10:54:35.409Z,Default Feature 1,queued,False,"Provide a detailed description of the security concern, including any potential risks."
User Interface Issues,ticket,medium,MEETHA P ANCHAN,2024-11-25T10:52:38.297Z,Default Feature 1,in_development,False,"Detail the UI problem, its location, and any suggestions for improvement."
Performance Issues,ticket,medium,MEETHA P ANCHAN,2024-11-25T10:51:52.132Z,Default Feature 1,queued,False,"Describe the performance problem, when it occurs, and its impact on usage."
Technical Support,ticket,medium,MEETHA P ANCHAN,2024-11-25T10:48:42.477Z,Default Feature 1,work_in_progress,False,Request help with technical issues or questions.
Feature Requests,ticket,medium,MEETHA P ANCHAN,2024-11-25T10:47:52.465Z,Default Feature 1,queued,False,"Describe the feature, its benefits, and any relevant use cases."
Bug Report ,ticket,medium,MEETHA P ANCHAN,2024-11-25T10:38:33.114Z,Default Feature 2,queued,False,"Include steps to reproduce the issue, expected vs. actual results, and any error messages."
